Norsk,Engelsk
trodd,believed
lukket,close
helvede,hell
angår,concerns
kysset,the kiss
reist,traveled
tosk,fool
forsvunnet,disappeared
au,ouch
spurt,asked
sterkere,stronger
heldige,lucky ones
lek,play
lås,lock
vaske,wash
eric,Eric
dreier,revolves
skjønte,realized
varer,goods
dage,days
fot,foot
hatten,the hat
fat,barrel
kører,running
banker,banks
våger,dares
rosa,pink
sporet,the track
roma,Rome
gifter,poisons
beskytter,protector
porten,the gate
mareritt,nightmare
PGA,BECAUSE OF
iitt,iitt
vidt,widely
kniven,the knife
ovenpå,upstairs
tider,times
dræbe,kill
fjor,last year
pasient,patient
stasjonen,the station
skaper,creates
late,pretend
adam,adam
amen,amen
beviser,proves
prins,prince
gråter,cries
forklaring,explanation
fantes,existed
leonard,Leonard
rapport,report
runde,round
elliot,elliot
avisen,the newspaper
armene,the arms
forandrer,changes
purken,the sow
hinanden,each other
matt,matt
sekund,second
offer,victim
års,year
energi,Energy
fuck,fuck
reiste,travelled
smith,smith
styrer,controls
show,show
lytter,listening
bag,bag
gammelt,old
senator,senator
grader,degrees
ca,about
ferd,journey
foten,the foot
adressen,the address
fejl,error
heit,hot
trengs,are needed
fugl,bird
flaske,bottle
smaker,flavors
kjole,dress
fortiden,currently
handle,trade
sjelen,the soul
tænkte,thought
røyker,smoking
førte,lead
papirene,the papers
cent,cent
ulovlig,illegal
grensen,the border
tett,closely
forklarer,explains
forlatt,abandoned
skatten,the tax
louis,Louis
idioter,idiots
lykkes,succeed
kamera,camera
fortæl,tell
fremmed,stranger
brenne,burn
øst,East
hvornår,when
syke,sick
skifte,shift
luke,Hatch
frankrike,France
funker,works
ante,ante
naken,naked
øyet,the eye
sød,cute
gråte,cry
aidri,aidri
lord,lord
marcus,marcus
håber,hope
ted,ted
dna,dna
helgen,the weekend
forbudt,forbidden
takker,thanks
halve,half
nyhetene,the news
june,June
brød,bread
kalde,cold
super,super
fiender,enemies
samtale,conversation
trykk,Press
sterke,powerful
erfaring,experience
sparket,fired
drev,drove
snilt,kindly
husket,remembered
hjerne,brain
drakk,drank
levde,lived
unntatt,except
hester,horses
forbanna,cursed
normal,normal
medisin,medicine
russerne,the russians
vennlig,friendly
manns,man's
vegne,on behalf of
dersom,if
later,pretending
fingrene,the fingers
cia,cia
oppfører,behaves
årsak,cause
pene,pretty
skremme,scare
rock,rock
job,job
møt,against
sterkt,strongly
kjeften,the mouth
stygg,ugly
middagen,the dinner
julie,July
post,mail
filmer,Movies
veier,roads
felle,trap
hagen,the garden
fengselet,the prison
forsvare,defend
hellere,rather
elendig,awful
morgan,tomorrow
eks,e.g
viktige,important
anelse,clue
stoff,fabric
bomben,the bomb
framtiden,the future
seriøst,seriously
mac,mac
kul,cool
længere,longer
stranden,the beach
dekket,covered
liste,list
dekning,coverage
perfekte,perfect
samtalen,the conversation
elva,the river
skritt,step
satan,Satan
pratet,chatted
eventyr,fairytale
gjentar,repeats
vold,violence
beveger,moves
grønne,green
kjolen,the dress
chance,chance
feire,celebrate
vokste,grew
vokser,is growing
teknisk,technical
uvanlig,unusual
skilt,divorced
velsigne,bless
rettferdig,fair
gået,gone
søren,the south
kjøp,buy
årevis,for years
skapte,created
wayne,wayne
merker,brands
hurtigt,quickly
tennene,the teeth
ekteskap,marriage
snille,kind
tapte,lost
smerten,the pain
potter,pots
dekker,covers
bliv,stay
imponerende,impressive
jag,me
miller,miller
sider,sides
klubben,the club
føttene,the feet
tomme,empty
ann,etc
katt,cat
wilson,wilson
dens,its
sandt,true
staten,the state
sammy,sammy
ombord,on board
bestemte,decided
hatet,hated
skjønne,understand
mil,miles
regne,rain
eksisterer,exists
drømte,dreamed
cole,cole
forestille,imagine
still,still
ifølge,according to
retning,direction
spørgsmål,questions
skaffer,provides
angriper,attacking
gårde,farm
listen,the list
regjeringen,the government
lader,charger
snakkes,is spoken
våknet,woke up
showet,the show
bit,bit
mars,March
media,media
hestene,the horses
fjernet,removed
leger,Doctors
vettet,the wits
hunder,dogs
bygger,builds
brutt,broken
spilt,played
signal,signal
jenny,jenny
kvinde,woman
biter,bites
operasjon,operation
enkel,simple
hindre,stop
lucy,lucy
dop,dope
lavt,low
champagne,champagne
flykte,escape
behandlet,treated
kontrollere,control
kjekk,handsome
tiibake,ten back
skjebnen,fate
ske,happen
ansvaret,responsibility
in,in
jammen,damn
falsk,false
køre,drive
avslutte,terminate
endret,changed
doug,doug
tøft,tough
felles,common
brøt,broke
vaktene,the guards
færdig,done
delta,participate
river,tears
avstand,distance
drømme,dream
fulgt,followed
dyktig,skilled
tyskerne,the Germans
forstyrrer,disturbs
tomt,empty
takle,cope
verd,worth
stjeler,steals
torsdag,Thursday
advarsel,warning
svinet,the pig
erik,Erik
fortjent,deserved
tyv,thief
forskjell,difference
rocky,rocky
vaert,been
kæft,shut up
sjovt,funny
radio,radio
jomfru,Virgin
høyhet,highness
melk,milk
nigger,nigger
sovet,slept
rapporten,the report
sæt,set
vender,turns
jakt,hunt
fjerde,fourth
park,park
fungere,function
plikt,duty
engel,angel
kjelleren,the basement
lady,lady
drukket,drank
rødt,red
falske,fake
sangen,the song
skapet,the closet
offentlig,public
advokaten,the lawyer
størrelse,size
el,el
typisk,typical
monsieur,Monsieur
innenfor,within
glimrende,brilliant
via,via
high,high
kortet,the card
bravo,bravo
uken,the week
mirakel,miracle
spre,spread
månen,the moon
dekke,cover
naturlig,natural
kelly,kelly
fjellet,the mountain
susan,Susan
vejen,the road
latt,laughed
skuiie,scooty
johnson,Johnson
beskjeden,modest
tydelig,clearly
rømme,sour cream
slet,struggled
pressen,press
tyler,tyler
inden,within
nogensinde,ever
sjokolade,chocolate
miles,miles
com,com
fotball,soccer
flot,nice
sies,is said
løsning,solution
gjenta,repeat
selskapet,the company
tilbud,offer
imod,against
nytte,utility
historier,stories
djevelen,the devil
midten,the middle
ordrer,orders
fryser,freezes
gjester,guests
personen,the person
allikevel,anyway
pizza,pizza
annie,Annie
vokse,grow
personlige,personal
sjalu,jealous
inde,inside
svak,weak
bensin,gasoline
damene,the ladies
leiren,the camp
geni,genius
ordene,the words
monster,pattern
langs,along
evner,abilities
vaer,weather
uhell,accident
pund,pound
fantastiske,fantastic
grav,grave
brent,burned
koden,the code
taxi,taxi
skjønt,though
francisco,Francisco
forberedt,prepared
truet,threatened
keiseren,the emperor
parker,parks
kvinnene,the women
hemmelige,secret
sjelden,rare
takknemlig,grateful
forsøker,trying
skylden,the blame
fbl,fbl
dømt,convicted
vende,turn
alarm,alarm
korrekt,correct
dagene,the days
nylig,recently
brukes,is used
kostet,the cost
behov,need
slemme,naughty
behandler,treats
sannsynligvis,probably
carter,carter
blås,blow
gaten,the street
plassen,place
gordon,gordon
åssen,the hill
harold,Harold
fiende,enemy
magi,magic
nesen,the nose
rydde,tidy
fløy,flew
sort,black
løb,ran
stygt,ugly
elven,the river
jean,jean
mænd,men
grave,dig
døende,dying
villig,willing
bygget,built
forbindelse,connection
nesa,nose
ørkenen,the desert
håpe,hope
vilt,wildly
wow,wow
krefter,forces
skuespiller,actor
forsøkte,tried
forholdet,the relationship
stan,stan
næsten,almost
plage,bother
tåler,tolerates
framme,forward
brødrene,the brothers
dollars,dollars
laura,laura
program,program
hjulpet,helped
linje,line
dronningen,the queen
ranet,robbed
Rachel,Rachel
følelsen,feeling
fakta,facts
jeff,Jeff
rare,weird
pluss,plus
maggie,Maggie
banket,knocked
charlotte,charlotte
samler,collects
hud,skin
pr,per
oi,oh
måter,ways
skjult,hidden
kæreste,girlfriend
svømme,swim
frykter,fear
kriger,Warrior
drosje,taxi
stilig,cool
voksne,adults
klem,Hug
sean,Sean
terry,terry
okey,okay
helsike,healthy
regn,rain
urolig,uneasy
restaurant,restaurant
faens,damn it
røyke,smoke
oppmerksomhet,attention
gjemt,hidden
junior,junior
gjengen,the gang
komplisert,complicated
brystet,the chest
behandle,treat
trygge,safe
fikset,fixed
tim,hour
humør,mood
spider,spider
ethan,ethane
hullet,the hole
hustru,wife
tap,loss
nære,close
treffes,meet
sorte,black
horer,listen
gris,pig
kake,cake
hjelpen,the help
overhodet,whatsoever
gudene,the gods
supert,Super
tyskland,Germany
skaffet,acquired
spare,save
prest,priest
rådet,the council
seier,victory
grunner,Reasons
redder,saves
invitert,invited
mistenkte,suspects
lytte,listen
tænker,thinking
øg,and
enden,the end
sykdom,disease
roper,shouts
maskinen,the machine
slap,relax
riktige,correct
fatt,understand
omgang,session
fritt,freely
totalt,in total
stolen,the chair
vekke,wake up
lykkelige,happy
smake,taste
kopi,copy
høye,high
stått,stood
let,easy
utstyret,the equipment
farge,Colour
språk,language
oppgave,task
myndighetene,the authorities
kler,clothes
sheriffen,the sheriff
løft,boost
angripe,attack
onkelen,the uncle
menneskelig,human
operasjonen,the operation
greg,greg
heisen,the elevator
villet,wanted
romantisk,romantic
pikken,the dick
avdeling,department
ørene,the ears
storm,storm
tirsdag,Tuesday
bane,lane
nivå,level
evan,Evan
eiendom,property
ment,intended
våkn,awake
endte,ended
hill,hill
black,black
viss,certain
fylt,filled
landsbyen,the village
medlem,member
blør,bleeds
bekreftet,confirmed
indre,inner
følt,felt
deretter,thereafter
forsinket,delayed
restauranten,the restaurant
ligget,lay
trakk,pulled
florida,Florida
sanne,true
drittsekken,the shit
overlevde,survived
norwegian,Norwegian
dørene,the doors
marty,Marty
bånd,band
gjette,guess
sviktet,betrayed
kofferten,the briefcase
melding,Message
sverdet,the sword
temmelig,rather
heldigvis,Luckily
patrick,patrick
talte,spoke
sonny,sonny
båndet,the tape
æren,credit
fælt,awful
mannskapet,the crew
gudskjelov,thank god
tall,number
rotet,the mess
berømt,famous
dobbelt,double
amerikanere,Americans
enkelte,individual
skide,shit
fortæller,narrator
hader,hate
ånd,spirit
lekker,delicious
stig,rise
helen,Helen
boston,boston
papir,paper
indtil,until
treet,the tree
bekymrer,worries
kartet,the map
skjuler,hides
bøkene,the books
livs,of life
uskyldige,innocent
lær,leather
beholder,container
tungt,heavy
hat,hate
presset,pressed
bla,blue
billig,cheap
involvert,involved
skitne,dirty
strømmen,the electricity
sørger,mourns
pasienten,the patient
åpenbart,obviously
harvey,harvey
valget,the election
trett,tired
undersøke,survey
pusten,the breath
stenger,rods
ledig,available
seiv,strong
nærmeste,nearest
aller,ever
hysj,hush
dommeren,the judge
gjeld,debt
sid,p
ideer,ideas
tysk,German
jackie,jackie
voyager,Voyager
timen,the hour
bodd,lived
beskyttelse,protection
kina,China
gården,the farm
harjeg,have I
parken,the park
tyske,German
ansatte,employees
spesielle,special
innrømme,admit
signalet,the signal
king,king
billetter,tickets
sprenge,blow up
ball,ball
agenter,agents
lokale,local
papirer,papers
huden,the skin
fylle,fill
lavet,made
talent,talent
hav,ocean
bilene,the cars
karriere,career
mus,mouse
ad,ad
fan,fan
tænk,think
beskyttet,protected
homse,gay
west,west
levd,lived
virkeligheten,reality
miami,Miami
universitetet,the university
kino,cinema
sving,turn
forsvar,defense
folka,the people
gjest,guest
frivillig,voluntary
ført,fast
sukker,sugar
partneren,the partner
sola,the sun
stygge,ugly
andres,someone else's
yngre,younger
skynde,hurry
lo,laughed
hvil,rest
christian,Christian
katten,the cat
ellie,Ellie
hollywood,hollywood
unnskylde,excuse
bella,bella
dræbte,killed
øen,the island
sofaen,the sofa
utsatt,exposed
jan,Jan
selve,itself
knuste,crushed
trynet,the muzzle
vitner,witnesses
styr,rule
eksamen,exam
test,test
linda,linda
krav,claim
veit,know
sgu,ugh
hell,fortunately
underlig,strange
sengs,bed
rick,rick
kunst,art
teddy,teddy
gjemte,hid
kontanter,cash
amy,Amy
www,www
igennem,through
brukket,broken
stilling,score
hjemmet,the home
greiene,the stuff
re,re
kutte,cut
begravelse,funeral
sommer,summer
viktigere,more important
piger,girls
nina,Nina
mennesket,the human being
dukke,doll
ukjent,unknown
interesse,interest
me,me
hovedet,the head
adresse,address
opplysninger,information
velg,choose
utro,unfaithful
åpent,open
jordan,Jordan
planet,planet
akter,aft
skjønnhet,beauty
forskjellen,the difference
kommandør,commander
øyeblikkelig,immediately
bestille,order
katie,Katie
suger,sucks
sheldon,sheldon
rir,rides
angre,regret
skar,cut
japan,Japan
hemmeligheter,secrets
rigtige,right
broder,brother
system,system
ran,robbery
slaget,the battle
nektet,denied
he,huh
farlige,dangerous
melde,report
sit,sit
skifter,shifts
afrika,Africa
marie,Mary
pakket,packed
narkotika,drugs
my,my
mad,food
kraftig,powerful
snur,turns
punkt,point
rad,advice
service,service
russiske,Russian
sjanser,chances
rive,tear
ken,ken
tænke,think
puster,breathe
matte,had to
smule,crumb
øre,ear
sittet,sat
rasende,furious
sår,wound
berømte,famous
muligheten,the opportunity
gass,gas
drømt,dreamed
gaver,gifts
pakk,package
buret,the cage
beth,beth
erjeg,am I
kraften,the power
jackson,jackson
rørt,touched
fett,fat
doktoren,the doctor
sommeren,the summer
stenge,close
homer,homer
karl,man
greide,managed
langsomt,slowly
sta,stubborn
triks,trick
blaffen,the hitchhiking
ekkelt,disgusting
våben,weapons
lav,low
hvitt,white
nøkkel,key
kaffen,the coffee
kuttet,cut
tullet,bullshit
handlet,shopped
lider,suffers
lou,Lou
sidder,sitting
likner,resembles
klatre,climb
takler,copes
oktober,October
moderne,modern
sparke,kick
dallas,dallas
knuller,fucking
anthony,anthony
skjære,cut
galskap,madness
advare,warn
respekterer,respects
emma,Emma
sagen,the case
onsdag,Wednesday
cæsar,Caesar
sjøen,the sea
ens,same
brann,fire
muligheter,possibilities
starten,the start
muligens,possibly
pinlig,embarrassing
folks,folks
beslutning,decision
fedt,fat
midnatt,midnight
forstyrre,disturb
tung,heavy
truer,threatens
besatt,possessed
fuglen,the bird
øret,the ear
cox,cox
dødd,dead
femte,fifth
posten,the mail
grønn,green
planlegger,planning
tilby,offer
prøvede,tried
kontakter,contacts
fingeren,the finger
passende,appropriate
fremtid,future
gidder,bother
forbannet,cursed
feite,fatty
graven,the grave
kledd,dressed
spark,kick
lat,lazy
las,lock
bygd,built
tilfeldigvis,coincidentally
juling,beating
gullet,the gold
isen,the ice
presse,press
bundet,bound
typer,types
spion,spy
måneden,the month
behandling,treatment
framtid,future
tæt,close
skjorte,shirt
fjellene,mountains
leit,sad
sally,sally
kreft,cancer
tilbyr,offers
tvang,compulsion
bevæpnet,armed
innblandet,involved
risikerer,risks
navnene,the names
go,good
sjokk,shock
skremmende,terrifying
oversatt,translated
ost,East
sikte,aim
klient,client
franske,French
tillit,trust
reed,reed
fitte,pussy
klager,complaints
avisene,the newspapers
dæven,the devil
narr,fool
morn,morn
stukket,stung
spore,trace
sal,saddle
fantasi,imagination
kilden,the source
benjamin,benjamin
tilbringe,spend
it,it
skriker,screams
nød,emergency
lysene,the lights
basert,based
derek,Derek
uge,week
kontrollen,the control
boks,box
dyrt,expensive
nathan,Nathan
inspektør,inspector
tuvok,two weeks
arm,arm
lederen,the manager
steg,rose
leie,rent
kontakte,contact
suksess,success
rimelig,reasonable
klapp,clap
boy,Bend
trykket,the pressure
kvarter,quarters
sjov,funny
ulike,different
sorg,sorrow
ilden,the fire
etterlot,left behind
boss,boss
vietnam,Vietnam
kontrakt,contract
koste,cost
dick,dick
hardere,have you
kuler,balls
innse,realize
kidnappet,kidnapped
lukke,close
ballene,the balls
stanset,stopped
nevnt,mentioned
vakter,guards
boksen,the box
dom,judgement
yeah,yeah
hotel,hotel
kart,map
piss,piss
lavede,made
sjarmerende,charming
skjorta,the shirt
private,private
ansatt,employee
sinn,mind
frie,free
spanderer,treats
knuser,crushes
fengslet,imprisoned
april,April
pisspreik,piss spreik
røven,the ass
computer,computer
sä,so
tænkt,thought
tulling,fooling around
moses,moss
overlevende,survivor
kursen,the course
skitt,dirt
smiler,smiling
sannhet,truth
støtter,supports
muren,the wall
anne,Anne
grace,grace
heie,hey
idioten,the idiot
vampyr,vampire
knappen,the button
drevet,driven
fæl,ugly
kennedy,Kennedy
todd,todd
skrike,scream
slave,slave
stjernene,the stars
risikere,risk
fysisk,physical
freddy,freddy
nyte,enjoy
russisk,Russian
fornøyelse,amusement
spøker,jokes
hoid,hold
bring,bring
piller,pills
diego,Diego
kommandoen,the command
evighet,eternity
rettferdighet,fairness
faktum,fact
gary,gary
sayid,said
urettferdig,unjust
rede,nest
bevege,move
byens,the city's
godeste,best
lukker,closes
evne,ability
assistent,assistant
høyeste,highest
elizabeth,elizabeth
norman,norman
vincent,vincent
sag,saw
offiser,officer
amerikanerne,the americans
kranglet,argued
direktør,director
locke,locks
skiftet,the shift
pakker,packages
lukte,smell
graver,digs
suge,suck
jakken,the jacket
tegnet,drawn
school,school
nat,night
glor,glares
ah,ah
tusenvis,thousands
betydde,meant
lagd,made
forleden,the other day
trene,exercise
rapporter,reports
sandy,sandy
fyre,guys
bruger,user
bestilte,ordered
såre,wound
trussel,threat
øjne,eyes
sluppet,released
lista,list
sky,cloud
tjue,twenty
señor,señor
slut,end
hellig,holy
more,more
makten,the power
stranda,the beach
problemene,the problems
desperat,desperate
sliten,tired
beundrer,admirer
ekteskapet,the marriage
magiske,magical
følelsene,the feelings
brown,brown
universet,the universe
normale,normal
løst,solved
avdelingen,the department
tvinge,force
imponert,impressed
nærme,approach
cooper,cooper
nettet,the web
spørge,ask
definitivt,definitely
steinen,the stone
group,group
tabbe,blunder
salt,salt
kaos,chaos
rob,rob
sykt,sick
fjeset,the face
scene,stage
cowboy,cowboy
barry,barry
livets,of life
rakk,managed
firma,company
speilet,the mirror
antagelig,presumably
varmen,the heat
nysgjerrig,curious
lukten,the smell
arrestere,arrest
frankie,Frankie
vic,vic
sandheden,the truth
mobilen,the mobile phone
von,von
øy,island
reisen,the journey
grusomt,horrible
mordet,the murder
grønt,green
steng,close
id,id
teknologi,technology
læg,calf
jøder,Jews
russland,Russia
ellen,ellen
satser,rates
hundene,the dogs
canada,canada
ondskap,evil
milde,gentle
stiger,ladders
strøm,current
bønner,beans
sue,Sue
tåpelig,foolish
skyss,ride
søk,search
søta,cutie
jessica,jessica
tilgir,forgives
usas,usa
gatene,the streets
dødelig,deadly
gennem,through
begynder,begins
scofield,scofield
klassen,the class
hundrevis,hundreds
overta,take over
vasker,washes
straff,penalty
tunge,tongue
katastrofe,disaster
juli,July
kinesisk,Chinese
drittsekker,shitbags
slog,beat
raymond,Raymond
homo,gay
kokain,cocaine
forlat,leave
bevegelse,motion
ambulanse,ambulance
amanda,amanda
male,measure
studere,study
sikret,secured
offeret,the victim
smuk,beautiful
pisse,piss
baller,balls
knullet,fucked
opprørt,upset
detaljer,details
synder,sinner
værelse,the room
sparker,kicks
kunder,customers
amerikaner,American
green,green
betty,Betty
blair,Blair
one,one
præcis,exactly
pá,on
grand,grand
tauet,the rope
melder,reports
enorm,huge
elleve,eleven
tilstand,state
teori,theory
hviler,resting
kontakten,the contact
stanley,Stanley
basen,the base
ho,ho
framover,forward
trening,exercise
tilfeldig,random
soldatene,the soldiers
begravelsen,the funeral
revet,torn
krangle,quarrel
drapet,the murder
forkert,wrong
lisbeth,Lisbeth
forventet,expected
opplevd,experienced
invitere,invite
syng,sing
regningen,the bill
dress,suit
geværet,the rifle
feit,fat
sinnet,the mind
japansk,Japanese
house,house
afsted,away
formue,fortune
kunnet,could
avgjørelse,decision
venninne,friend
fortjente,deserved
kunde,customer
desto,the more
sannelig,indeed
soverommet,the bedroom
skift,shift
linjen,the line
tips,tips
motoren,the engine
tester,tests
samfunnet,society
benny,Benny
janeway,janeway
skitten,filthy
sdi,sd
rykte,reputation
gate,street
fornuftig,reasonable
times,hours
ordren,the order
olje,oil
video,video
konstabel,constable
kke,no
vigtigt,important
batman,batman
neelix,neelix
rektor,headmaster
skygge,shade
sans,sense
halvtime,half an hour
stirrer,stares
sikt,sight
rygg,back
berlin,berlin
ektemann,husband
bandet,the band
hal,hall
vasket,washed
idag,Today
irriterende,irritating
jersey,jersey
utstyr,equipment
angrer,regrets
gule,yellow
kanal,channel
ruby,ruby
helikopter,helicopter
klage,complain
himmel,heaven
sittende,sitting
forbrytelse,crime
nedover,downwards
ropte,shouted
føltes,felt
walt,walt
tt,tt
kalder,calling
ronnie,Ronnie
tillegg,addition
skiltet,the sign
stormen,the storm
trukket,drawn
natur,nature
overflaten,the surface
hjemmefra,from home
ekspert,expert
utenom,except
udenfor,outside
avgjort,settled
rykter,rumours
avsluttet,concluded
generalen,the general
jakke,jacket
pupper,tits
slip,slip
forældre,parents
journalist,journalist
oppføre,behave
prøven,the sample
stykket,the piece
helikopteret,the helicopter
held,luck
endrer,changing
biblioteket,the library
øve,practice
klok,wise
utviklet,developed
sinne,anger
sawyer,sawyer
sebastian,sebastian
forsøke,attempt
tvunget,forced
tillater,allows
kristus,Christ
spansk,Spanish
september,September
pearl,pearl
politikk,policy
tiger,tiger
sætte,put
alligevel,anyway
rotta,rat
troen,the faith
mordere,murderers
familier,families
minnet,the memory
gjem,hide
krysset,crossed
elaine,Elaine
jada,Yes
seth,Seth
overbevist,convinced
alkohol,alcohol
sønner,sons
lander,lands
teit,silly
lønn,payment
forlovet,engaged
vart,lasted
stede,present
sultne,hungry
heks,witch
seint,late
julenissen,Santa Claus
paulie,Paulie
landets,of the country
dyrene,the animals
oppi,up
fangene,the prisoners
overgi,surrender
markedet,the market
glasset,the glass
marinen,the navy
kramer,hugs
forsikre,insure
madame,ma'am
rollen,the role
skrek,screamed
buddy,buddy
trykke,print
rase,race
bestilt,ordered
skrik,scream
fjerner,removes
sloss,fight
fetter,cousin
hemmeligheten,the secret
hannah,hannah
hørtes,was heard
fyrer,guys
led,suffered
senatet,the senate
ross,ross
dræbt,killed
trappen,the stairs
tilbød,offered
fødselsdag,birthday
umiddelbart,immediately
overbevise,convince
roligt,calmly
nancy,nancy
jamen,well
forfatter,author
fremme,advance
fortid,past
drage,dragon
italiensk,Italian
låter,tunes
innser,realize
kirke,church
vend,turn
hoved,main
pasienter,patients
carrie,carry
skille,separate
spania,Spain
avsløre,disclose
cirka,approximately
lawrence,Lawrence
maskin,machine
luk,close
mellem,between
sørover,southwards
telle,count
roe,calmness
lignende,the like
forskning,research
bortkastet,wasted
little,little
eve,Eve
barbara,Barbara
stark,strong
bytter,change
vognen,the cart
svake,weak
bukser,pants
søke,seek
andrew,andrew
lily,lily
fjols,fool
cindy,cindy
brua,the bridge
ringede,called
find,find
spil,games
jin,gin
ideen,the idea
trives,thrive
jakte,hunt
storartet,magnificent
kvalm,nauseous
anderson,anderson
røv,ass
mektig,powerful
vekket,awakened
bomber,bomber
julia,Julia
sand,sandy
forhandle,negotiate
fuld,full
tisse,Pee
værsgo,good weather
kroner,NOK
rømte,escaped
begå,commit
innså,realized
pastor,pastor
sentrum,downtown
muligt,possible
kyle,cold
stjerner,stars
rotte,rat
løfter,promises
skulderen,the shoulder
fyller,fills
island,Iceland
ører,ears
fabrikken,the factory
santa,Santa
dexter,dexter
chef,chief
hjælper,helps
knærne,the knees
forestillingen,the performance
oppnå,achieve
fæle,hideous
Carlos,Carlos
fortsatte,continued
kjerring,old woman
Houston,Houston
ligeglad,don't care
antakelig,probably
naturen,nature
bind,volumes
låse,lock
bygde,built
nevne,mention
vinteren,the winter
niks,nothing
lyn,lightning
grå,grey
jøde,Jew
ledet,led
sparer,saving
bygning,building
rotter,roots
utføre,perform
avgjøre,decide
biff,steak
forsvaret,the defense
stjernen,the star
plads,space
cobb,cobb
oppførsel,behavior
sanger,singer
døgnet,around the clock
overraske,surprise
cm,cm
christopher,christopher
jamie,jamie
fascinerende,fascinating
lnn,lnn
tjente,served
hengt,hanged
medisinen,the medicine
dømme,judge
godtar,accepts
delte,shared
døv,deaf
fordel,advantage
vinder,wins
politisk,political
ryktet,the rumor
bakover,backwards
alarmen,the alarm
forstar,understand
blikk,glance
dusj,shower
november,November
presis,accurate
grant,grant
enkle,simple
inviterte,invited
butikk,shop
smarte,smart
bernie,Bernie
reparere,repair
fornuft,common sense
mektige,powerful
trolig,probably
trærne,the trees
dusin,dozen
baseball,baseball
hate,hate
cuba,cuba
club,club
yo,yo
stolthet,pride
on,Wed
gid,please
nydelige,lovely
tilbudet,the offer
styret,the board
legene,the doctors
kollega,colleague
lewis,lewis
pikk,dick
etterforsker,investigator
våt,wet
rev,Fox
grad,degree
band,band
fjell,Mountain
samvittighet,conscience
kysten,Coast
murphy,murphy
rejse,travel
tørst,thirst
plukket,picked
brakk,fallow
baker,bakes
betydning,importance
fordømt,condemned
sverige,Sweden
sigaretter,cigarettes
begått,committed
andel,share
lande,country
sverget,swore
josh,josh
robinson,robinson
stu,stu
bena,the legs
gruppen,the group
befinner,located
nyter,enjoying
vask,wash
fingeravtrykk,fingerprint
duke,tablecloth
donna,donna
øker,increases
forklar,explain
flyktet,fled
slaver,slaves
begrave,bury
intelligent,intelligent
senk,lower
dypere,deeper
sinnssyk,insane
kassen,the box
beder,prays
værre,worse
molly,molly
oscar,oscar
jungelen,the jungle
siktet,charged
humor,mood
bunnen,the bottom
forsvarer,Defender
billett,ticket
føtter,feet
taylor,Taylor
handling,action
modell,model
tilgang,access
aaron,Aaron
jd,jd
hilsen,greeting
tekster,texts
resultatet,the result
skjærer,cuts
oppdager,discovers
gjestene,guests
anledning,occasion
brenn,burn
rot,root
julen,Christmas
county,county
frykten,the fear
tøffe,tough
uger,weeks
motstand,resistance
lur,nap
plukke,pick
trent,trained
støv,dust
mellomtiden,the meantime
nordover,North
slange,hose
brudd,break
piken,the girl
kontrakten,the contract
grusom,cruel
snut,muzzle
sætter,looked for
alexander,alexander
kelso,Kelso
lenny,Lenny
hårdt,hard
pakken,the package
praktisk,practical
forandring,change
ms,etc
daisy,daisies
hænder,hands
magisk,Magical
skadd,injury
kjennes,can be felt
kirk,church
drenge,boys
enhet,unit
ali,ali
jill,jill
øje,eye
kvinder,women
stilte,silenced
tjent,earned
gangs,hallway
tårnet,the tower
enna,yet
bevare,preserve
innsiden,the inside
enterprise,enterprise
norske,Norwegian
vanskelige,difficult
forberede,prepare
avhengig,dependent
dude,dude
rørte,stirred
juni,June
corleone,corleone
darryl,darryl
hang,hung
inneholder,contains
godta,accept
utført,done
alles,everyone's
læreren,the teacher
veska,purse
skjermen,the screen
dræber,kills
arbejdet,the work
skyldes,is due
utvei,way out
sigarett,cigarette
korporal,corporal
haster,urgent
representerer,representing
dikt,poem
pokkers,dammit
harris,harris
psykiater,psychiatrist
nabolaget,the neighborhood
tøj,clothes
chakotay,chakotay
eh,eh
grenser,borders
søstre,sisters
harde,hard
nådd,reached
forgiftet,poisoned
forretning,business
klokke,clock
løftet,attic
kortene,the cards
midlertidig,temporary
gus,gus
innpå,in on
albert,Albert
advarer,warns
utrolige,incredible
seinere,later
stoffet,the substance
feirer,celebrating
militære,military
jonathan,Jonathan
serien,the series
datamaskinen,the computer
clay,clay
virus,virus
tvinger,forces
brillene,the glasses
uskadd,unharmed
wall,wall
tiders,times
garasjen,the garage
menig,Private
presten,the priest
buksa,the pants
mal,goal
øjnene,the eyes
findes,are found
ron,ron
prue,taste
ia,i.a
blikket,the gaze
mate,feed
status,status
sol,sun
forrest,at the front
brooklyn,brooklyn
milliarder,billions
jennifer,Jennifer
clark,clark
jay,yay
godmorgen,good morning
egypt,Egypt
inntrykk,impression
drinker,drinks
forstyrret,disturbed
vennskap,friendship
søppel,garbage
ma'am,ma'am
eieren,the owner
trær,trees
iiker,iike
sludder,nonsense
bingo,bingo
besked,message
tillykke,good luck
puppene,the tits
forbannelse,curse
bibelen,the bible
sykkelen,the bike
presser,presses
ej,not
art,species
tynn,thin
uniform,uniform
årets,of the year
rå,raw
jakter,hunting
snø,snow
trykker,presses
cola,coke
goddag,good day
manden,the man
gider,bother
mm,etc
søde,cute
kysser,kisses
tunnelen,the tunnel
oet,oet
walker,walker
karrieren,the career
lane,borrow
lomma,pocket
slottet,the castle
